[2026-06-28T16:13:43.889+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=856.500 | location=2
[2026-06-28T16:13:43.890+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=856.500 | location=2
[2026-06-28T16:13:43.891+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=856.400 | location=2
[2026-06-28T16:13:43.892+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=856.800 | location=2
[2026-06-28T16:13:43.893+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=857.000 | location=2
[2026-06-28T16:13:43.894+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=857.100 | location=2
[2026-06-28T16:13:43.895+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=856.900 | location=2
[2026-06-28T16:13:43.896+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=856.900 | location=2
[2026-06-28T16:13:43.897+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=856.100 | location=2
[2026-06-28T16:13:43.898+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=855.000 | location=2
[2026-06-28T16:13:43.899+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=854.100 | location=2
[2026-06-28T16:13:43.900+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=854.200 | location=2
[2026-06-28T16:13:43.901+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=854.500 | location=2
[2026-06-28T16:13:43.902+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=855.500 | location=2
[2026-06-28T16:13:43.903+0000] {logging_mixin.py:188} INFO -   [quality] OUT_OF_RANGE | surface_pressure=857.500 | location=2
